CourseNumber	Course	Department	Credits	Pre-Requisites	Co-Requisites	Semesters	Restrictions
BL 4820	Biochemical Laboratory Techniques I	Biological Sciences	2	BL 4010(C) or CH 4710(C)	null	"Spring, Summer"	"Must be enrolled in one of the following Major(s): Medical Laboratory Science, Biological Sciences; Must be enrolled in one of the following Class(es): Junior, Senior"
BL 4840	Molecular Biology Techniques	Biological Sciences	3	(BL 2100 or CH 4710) and BL 2200 and BL 4030(C)	null	"Fall, Summer"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
BL 4980	Medical Laboratory Science Core Concept Integration and Application	Biological Sciences	2	BL 3230(C) and BL 4550(C) and BL 4640 and BL 4720 and BL 4730	null	Spring	"Must be enrolled in one of the following Major(s): Medical Laboratory Science; May not be enrolled in one of the following Class(es): Freshman, Sophomore"
BL 4995	Research in Biochemistry	Biological Sciences	variable to   6.0;  Repeatable to a Max of 9	null	null	"Fall, Spring, Summer"	"Permission of instructor required; Must be enrolled in one of the following Major(s): Medical Laboratory Science, Chemistry, Biochem &amp; Molec Biology-Bio Sc, Bioinformatics, Biological Sciences; May not be enrolled in one of the following Class(es): Freshman"
BUS 1100	Introduction to Business	Business	3	null	null	"Fall, Spring, Summer"	"Permission of instructor required; Must be enrolled in one of the following Major(s): Medical Laboratory Science, Chemistry, Biochem &amp; Molec Biology-Bio Sc, Bioinformatics, Biological Sciences; May not be enrolled in one of the following Class(es): Freshman"
BUS 2100	Business Statistics	Business	3	MA 1135 or MA 1160 or MA 1161	null	"Fall, Spring, Summer"	"Permission of instructor required; Must be enrolled in one of the following Major(s): Medical Laboratory Science, Chemistry, Biochem &amp; Molec Biology-Bio Sc, Bioinformatics, Biological Sciences; May not be enrolled in one of the following Class(es): Freshman"
BUS 2200	Business Law	Business	3	null	null	"Fall, Spring, Summer"	"Permission of instructor required; Must be enrolled in one of the following Major(s): Medical Laboratory Science, Chemistry, Biochem &amp; Molec Biology-Bio Sc, Bioinformatics, Biological Sciences; May not be enrolled in one of the following Class(es): Freshman"
BUS 2300	Quantitative Problem Solving	Business	3	BUS 2100 or MA 2710 or MA 2720 or MA 3710 or MA 3720	null	"Fall, Spring, Summer"	"Permission of instructor required; Must be enrolled in one of the following Major(s): Medical Laboratory Science, Chemistry, Biochem &amp; Molec Biology-Bio Sc, Bioinformatics, Biological Sciences; May not be enrolled in one of the following Class(es): Freshman"
BUS 3900	Business Internship	Business	variable to   4.0;  Repeatable to a Max of 4	null	null	"Fall, Spring, Summer"	Permission of instructor required; Must be enrolled in one of the following College(s): School of Business &amp; Economics
BUS 4900	Research Projects	Business	variable to   4.0;  Repeatable to a Max of 6	null	null	On Demand	"Permission of instructor and department required; May not be enrolled in one of the following Class(es): Freshman, Sophomore"
BUS 4910	Global Business Experience International Residency	Business	3	null	null	Summer	Permission of department required; Must be enrolled in one of the following Class(es): Senior
BUS 4950	Business Project	Business	variable to   4.0;  Repeatable to a Max of 6	null	null	On Demand	"Permission of instructor required; May not be enrolled in one of the following Class(es): Freshman, Sophomore"
BUS 4990	Special Topics in Business	Business	variable to   3.0;  Repeatable to a Max of 6	null	null	On Demand	"Permission of instructor required; May not be enrolled in one of the following Class(es): Freshman, Sophomore"
BUS 4991	Business Development Experience I	Business	3	BUS 1100 and BUS 2300 and ACC 2000 and ACC 2100 and BUS 2200 and MGT 2000 and MIS 2000 and FIN 3000 and OSM 3000 and MGT 3000 or MKT 3000	null	Fall	Must be enrolled in one of the following Class(es): Senior
BUS 4992	Business Development Experience II	Business	3	BUS 4991	null	Spring	Must be enrolled in one of the following Class(es): Senior
CE 1000	Civil Engineering	Civil Engineering	1	null	null	Fall	Must be enrolled in one of the following Class(es): Senior
CE 1001	Sustainability and Civil Engineering Practice	Civil Engineering	1	null	null	Spring	Must be enrolled in one of the following Class(es): Senior
CE 3101	Civil Engineering Materials	Civil Engineering	3	ENG 2120 or MEEM 2150	null	"Fall, Spring"	Must be enrolled in one of the following Class(es): Senior
CE 3202	Structural Analysis	Civil Engineering	3	(ENG 2120 or MEEM 2150) and (MA 2320 or MA 2321 or MA 2330)	null	"Fall, Spring, Summer"	Must be enrolled in one of the following Class(es): Senior
CE 3331	Professional Practice	Civil Engineering	2	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
CE 3332	Fundamentals of Construction Engineering	Civil Engineering	3	null	null	"Fall, Spring, Summer"	May not be enrolled in one of the following Class(es): Freshman
CE 3401	Transportation Engineering	Civil Engineering	3	null	null	"Fall, Spring"	May not be enrolled in one of the following Class(es): Freshman
CE 3620	Water Resources Engineering	Civil Engineering	4	ENG 3200 and (MA 3710(C) or ENVE 3502(C) or CE 3710(C))	null	"Fall, Spring, Summer"	May not be enrolled in one of the following Class(es): Freshman
CE 3710	Uncertainty Analysis in Engineering	Civil Engineering	3	MA 2160	null	Fall	May not be enrolled in one of the following Class(es): Freshman
CE 3810	Soil Mechanics for Engineers	Civil Engineering	4	GE 2000 and (MEEM 2150 or ENG 2120) and ENG 3200	null	"Fall, Spring, Summer"	May not be enrolled in one of the following Class(es): Freshman
CE 4010	Introduction to Consulting Engineering	Civil Engineering	3	null	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
CE 4020	Computer Applications: Visualizing and Communicating Design Information	Civil Engineering	3	CE 3332 or CE 3401(C)	null	Fall	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
CE 4101	Bituminous Materials	Civil Engineering	3	CE 3101	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
CE 4201	Matrix Structural Analysis	Civil Engineering	3	CE 3202	null	Fall	"May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
CE 4213	Structural Concrete Design	Civil Engineering	4	CE 3202	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
CE 4223	Steel Design I	Civil Engineering	4	CE 3202	null	"Fall, Summer"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
CE 4233	Structural Timber Design	Civil Engineering	3	CE 3202	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
CE 4244	Loads for Civil Structures	Civil Engineering	3	CE 3202	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
CE 4333	Estimating and Planning of Construction Projects	Civil Engineering	3	CE 3332	null	Fall	"May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
CE 4344	Construction Scheduling	Civil Engineering	3	CE 3332 or CMG 3265	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
CE 4401	Pavement Design	Civil Engineering	3	CE 3401 and CE 3101	null	Fall	"May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
CE 4402	Traffic Engineering	Civil Engineering	3	null	null	Fall	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
CE 4404	Railroad Engineering	Civil Engineering	3	null	null	Fall	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
CE 4406	Airport Planning and Design	Civil Engineering	3	null	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
CE 4407	Transportation Design	Civil Engineering	3	CE 3401 and SU 2000	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
CE 4410	Transportation Planning	Civil Engineering	3	null	null	Fall	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
CE 4490	Rail Transportation Seminar	Civil Engineering	1	null	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
CE 4510	Baccalaureate Thesis	Civil Engineering	3	null	null	"Fall, Spring"	"Permission of instructor required; May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
CE 4620	River and Floodplain Hydraulics	Civil Engineering	3	CE 3620	null	Fall	"Permission of instructor required; May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
CE 4640	Stormwater Management and Low Impact Development	Civil Engineering	3	CE 3620	null	"Spring, Summer"	"Permission of instructor required; May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
CE 4665	Stream Restoration	Civil Engineering	3	CE 3620	null	Spring	"Permission of instructor required; May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
CE 4760	Optimization Methods in Civil and Environmental Engineering	Civil Engineering	3	MA 2160 and (MA 2320 or MA 2321 or MA 2330)	null	Spring	"Must be enrolled in one of the following Class(es): Junior, Senior"
CE 4820	Foundation Engineering	Civil Engineering	3	CE 3810	null	Fall	"Must be enrolled in one of the following Class(es): Junior, Senior"
CE 4830	Geosynthetics Engineering	Civil Engineering	3	CE 3810	null	Spring	"Must be enrolled in one of the following Class(es): Junior, Senior"
CE 4850	Rock Engineering for Civil Engineers	Civil Engineering	3	CE 3810	null	Spring - Offered alternate years beginning with the 2009-2010 academic year 	"Must be enrolled in one of the following Class(es): Junior, Senior"
CE 4900	Engineering Design Project I	Civil Engineering	3	null	null	"Fall, Summer"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
CE 4905	Engineering Design Project	Civil Engineering	3	null	null	"Fall, Spring, Summer"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
CE 4910	Engineering Design Project II	Civil Engineering	3	CE 4900	null	"Spring, Summer"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
CE 4915	International Engineering Field Experience	Civil Engineering	3	null	null	"Fall, Spring, Summer"	Must be enrolled in one of the following Class(es): Senior
CE 4916	International Senior Design Field Project	Civil Engineering	3	CE 4915	null	"Fall, Spring, Summer"	Must be enrolled in one of the following Class(es): Senior
CE 4920	Civil Engineering Independent Study	Civil Engineering	variable to   3.0;  Repeatable to a Max of 3	null	null	"Fall, Spring, Summer"	"Permission of instructor required; May not be enrolled in one of the following Class(es): Freshman, Sophomore"
CE 4990	Special Topics in Civil Eng.	Civil Engineering	variable to   3.0;  Repeatable to a Max of 9	null	null	"Fall, Spring, Summer"	"Permission of instructor required; May not be enrolled in one of the following Class(es): Freshman, Sophomore"
CH 0100	Chemistry Coaching	Chemistry	0.0;  May be repeated	null	null	"Fall, Spring, Summer"	"Permission of instructor required; May not be enrolled in one of the following Class(es): Freshman, Sophomore"
CH 0200	Organic Chemistry Coaching	Chemistry	0.0;  May be repeated	null	null	"Fall, Spring"	"Permission of instructor required; May not be enrolled in one of the following Class(es): Freshman, Sophomore"
CH 1000	Preparatory Chemistry	Chemistry	3	null	null	Fall	"Permission of instructor required; May not be enrolled in one of the following Class(es): Freshman, Sophomore"
CH 1112 - University Chemistry	University Chemistry - Studio Laboratory I	Chemistry	5	MA 1031(C) or MA 1032(C)	null	Fall	"Must be enrolled in one of the following Major(s): Biochem &amp; Molec Biology-Chem, Pharmaceutical Chemistry, Chemistry, Cheminformatics"
CH 1122 - University Chemistry	University Chemistry - Studio Laboratory II	Chemistry	5	CH 1112 or (CH 1150 and CH 1151)	null	Spring	"Must be enrolled in one of the following Major(s): Biochem &amp; Molec Biology-Chem, Pharmaceutical Chemistry, Chemistry, Cheminformatics"
CH 1130	Professional Development for Chemists I: Orientation	Chemistry	1.0; Graded Pass/Fail Only	null	null	Fall	"Must be enrolled in one of the following Major(s): Biochem &amp; Molec Biology-Chem, Pharmaceutical Chemistry, Chemistry, Cheminformatics"
CH 1150	University Chemistry I	Chemistry	3	MA 1031(C) or MA 1032(C) or MA 1160(C) or MA 1161(C) or MA 1135(C) or ALEKS Math Placement >= 56 or CEEB Calculus AB >= 2 or CEEB Calculus BC >= 2 or CEEB Calculus AB Subscore >= 2	CH 1151	"Fall, Spring, Summer"	"Must be enrolled in one of the following Major(s): Biochem &amp; Molec Biology-Chem, Pharmaceutical Chemistry, Chemistry, Cheminformatics"
CH 1151	University Chemistry Lab I	Chemistry	1	MA 1031(C) or MA 1032(C) or MA 1160(C) or MA 1161(C) or MA 1135(C) or ALEKS Math Placement >= 56 or CEEB Calculus AB >= 2 or CEEB Calculus BC >= 2 or CEEB Calculus AB Subscore >= 2	CH 1150	"Fall, Spring, Summer"	"Must be enrolled in one of the following Major(s): Biochem &amp; Molec Biology-Chem, Pharmaceutical Chemistry, Chemistry, Cheminformatics"
