CourseNumber	Course	Department	Credits	Pre-Requisites	Co-Requisites	Semesters	Restrictions
EC 4650	Environmental Economics	Economics	3	(EC 2001 or EC 3002) and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Spring	May not be enrolled in one of the following Class(es): Freshman
EC 4710	Labor/Human Resource Economics	Economics	3	EC 2001 and (MA 2710 or MA 2720 or MA 3710) and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	On Demand	May not be enrolled in one of the following Class(es): Freshman
EC 4900	Research	Economics	variable to   4.0;  Repeatable to a Max of 6	EC 2001	null	On Demand	May not be enrolled in one of the following Class(es): Freshman
EC 4990	Special Topics in Economics	Economics	variable to   4.0;  Repeatable to a Max of 6	EC 2001	null	On Demand	May not be enrolled in one of the following Class(es): Freshman
ED 0510	Graduate Teaching Assistant Training	Education	1	null	null	"Fall, Spring, Summer"	Permission of instructor required; Must be enrolled in one of the following Level(s): Graduate
ED 2010	Field Study in Education: Elementary School	Education	1	null	null	"Fall, Spring"	Permission of department required
ED 2020	Field Study in Education: Secondary School	Education	1	null	null	"Fall, Spring"	Permission of department required
ED 3100	Instructional Technology	Education	2	null	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
ED 3110	Psychological Foundations of Learning	Education	3	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
ED 3210	Foundations of Education	Education	2	ED 3110(C) and ED 3410(C)	"ED 3110, ED 3410"	Fall	Permission of department required; May not be enrolled in one of the following Class(es): Freshman
ED 3410	Clinical Experience	Education	1	null	"ED 3110, ED 3210"	"Fall, Spring"	Permission of department required; May not be enrolled in one of the following Class(es): Freshman
ED 3510	Communicating Science I	Education	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	"Fall, Spring"	Permission of department required; May not be enrolled in one of the following Class(es): Freshman
ED 3511	Communicating Science II	Education	1	null	null	"Fall, Spring, Summer"	Permission of department required; May not be enrolled in one of the following Class(es): Freshman
ED 4020	Methods of Teaching Social Studies	Education	2	ED 4700(C)	null	On Demand	Permission of department required
ED 4140	Methods of Teaching English	Education	4	ED 4700(C)	null	Fall	Permission of department required
ED 4150	Literacy in the Content Areas	Education	4	ED 3110 and ED 3210 and ED 3410	null	"Fall, Spring"	Permission of department required
ED 4510	Special Topics in Education	Education	variable to   6.0;  Repeatable to a Max of 9	null	null	"Fall, Spring"	Permission of department required
ED 4700	Fundamentals of Instruction	Education	3	ED 3110 and ED 3210 and ED 3410	null	"Fall, Spring"	"Permission of department required; May not be enrolled in one of the following Class(es): Freshman, Sophomore"
ED 4720	Methods of Teaching Science	Education	2	ED 4700(C)	null	Fall	"Permission of department required; May not be enrolled in one of the following Class(es): Freshman, Sophomore"
ED 4750	Teaching Methods in Computer Science	Education	3	ED 4700	null	On Demand	"Permission of department required; May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
ED 4850	Environmental Education Methods	Education	4	null	null	On Demand	"Permission of department required; May not be enrolled in one of the following Class(es): Freshman, Sophomore"
ED 4910	Directed Teaching	Education	12	ED 3100 and ED 4700 and (ED 4720 or HU 4140 or SS 4020(C) or MA 4905)	null	"Fall, Spring"	"Permission of department required; May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
EE 1110	Essential Mathematics for Electrical Engineering	Electrical &amp; Computer Engrg	1.0; Graded Pass/Fail Only	MA 1160 or MA 1161	null	"Fall, Spring, Summer"	"Must be enrolled in one of the following Class(es): Freshman, Sophomore"
EE 1111	Introduction to Electrical and Computer Engineering	Electrical &amp; Computer Engrg	1	null	null	"Fall, Spring"	"Must be enrolled in one of the following Major(s): Electrical Engineering, Computer Engineering; Must be enrolled in one of the following Class(es): Freshman, Sophomore"
EE 2111	Electric Circuits I	Electrical &amp; Computer Engrg	3	EE 1110 and MA 2160	null	"Fall, Spring, Summer"	"Must be enrolled in one of the following Major(s): Electrical Engineering, Computer Engineering; Must be enrolled in one of the following Class(es): Freshman, Sophomore"
EE 2112	Electric Circuits II and Lab	Electrical &amp; Computer Engrg	4	EE 2111 and (MA 3520 or MA 3521 or MA 3530 or MA 3560)	null	"Fall, Spring, Summer"	"Must be enrolled in one of the following Major(s): Electrical Engineering, Computer Engineering; Must be enrolled in one of the following Class(es): Freshman, Sophomore"
EE 2174	Digital Logic and Lab	Electrical &amp; Computer Engrg	4	EET 2241(C) or EE 2241(C) or CS 1121(C) or CS 1131(C) or CS 1111(C)	null	"Fall, Spring, Summer"	"Must be enrolled in one of the following Major(s): Electrical Engineering, Computer Engineering; Must be enrolled in one of the following Class(es): Freshman, Sophomore"
EE 3010	Circuits and Instrumentation	Electrical &amp; Computer Engrg	3	null	null	"Fall, Spring, Summer"	"May not be enrolled in one of the following Major(s): Electrical Engineering, Computer Engineering"
EE 3090	Geometrical and Wave Optics	Electrical &amp; Computer Engrg	3	EE 3140(C) and (MA 3520 or MA 3521 or MA 3530 or PH 2200(C))	null	Fall	"May not be enrolled in one of the following Major(s): Electrical Engineering, Computer Engineering"
EE 3120	Electric Energy Systems	Electrical &amp; Computer Engrg	3	EE 2110 or EE 3010 or (EE 2111 and EE 2112(C))	null	"Fall, Spring, Summer"	"May not be enrolled in one of the following Major(s): Electrical Engineering, Computer Engineering"
EE 3131	Electronics	Electrical &amp; Computer Engrg	4	EE 2112 or EE 3010	null	"Fall, Spring, Summer"	"May not be enrolled in one of the following Major(s): Electrical Engineering, Computer Engineering"
EE 3140	Electromagnetics	Electrical &amp; Computer Engrg	3	PH 2200 and MA 3160 and (EE 2110 or EE 2112)	null	"Fall, Spring"	"May not be enrolled in one of the following Major(s): Electrical Engineering, Computer Engineering"
EE 3160	Signals and Systems	Electrical &amp; Computer Engrg	3	(EE 2110 or EE 2112) and (MA 2320 or MA 2321 or MA 2330) and (MA 3520 or MA 3521 or MA 3530 or MA 3560)	null	"Fall, Spring, Summer"	"May not be enrolled in one of the following Major(s): Electrical Engineering, Computer Engineering"
EE 3171	Microcontroller Applications	Electrical &amp; Computer Engrg	4	(EE 2241 or CS 1121 or CS 1111) and (EE 2174 or EE 2173)	null	"Fall, Spring, Summer"	May not be enrolled in one of the following Major(s): Computer Engineering
EE 3173	Hardware/Software System Integration	Electrical &amp; Computer Engrg	4	(EE 2304 or EE 2174) and (EE 3130 or EE 3131) and (CS 1141 or CS 2141) and CS 3421 and (MA 3710 or EE 3180)	null	"Fall, Spring"	"Must be enrolled in one of the following Major(s): Electrical Engineering, Computer Engineering"
EE 3180	Introduction to Probability and Random Signal Analysis	Electrical &amp; Computer Engrg	3	EE 3160	null	"Fall, Spring, Summer"	"Must be enrolled in one of the following Major(s): Electrical Engineering, Computer Engineering"
EE 3190	Optical Sensing and Imaging	Electrical &amp; Computer Engrg	3	EE 3090	null	Spring	"Must be enrolled in one of the following Major(s): Electrical Engineering, Computer Engineering"
EE 3250	Introduction to Communications Theory	Electrical &amp; Computer Engrg	3	EE 3160 and EE 3180(C)	null	"Fall, Spring, Summer"	"Must be enrolled in one of the following Major(s): Electrical Engineering, Computer Engineering"
EE 3261	Control Systems	Electrical &amp; Computer Engrg	3	EE 3160	null	"Fall, Spring"	"Must be enrolled in one of the following Major(s): Electrical Engineering, Computer Engineering"
EE 3290	"Photonic Material, Devices, and Applications"	Electrical &amp; Computer Engrg	4	EE 3140 or EE 3090 or PH 2400	null	Fall	"Must be enrolled in one of the following Major(s): Electrical Engineering, Physics, Applied Physics, Physics (BA), Biomedical Engineering, Materials Science and Engrg; Must be enrolled in one of the following Class(es): Junior, Senior"
EE 3373	Introduction to Programmable Controllers	Electrical &amp; Computer Engrg	3	EE 2110 or EE 2112 or EE 3010	null	Fall	"Must be enrolled in one of the following Major(s): Electrical Engineering, Computer Engineering"
